NAICS  Code,Kind of Business,Jan. 2019,Feb. 2019,Mar. 2019,Apr. 2019,May 2019,Jun. 2019,Jul. 2019,Aug. 2019,Sep. 2019,Oct. 2019,Nov. 2019,Dec. 2019,TOTAL,
,"Retail and food services sales, total","456,538","442,274","513,845","506,920","544,203","515,269","528,710","541,951","493,076","522,195","532,130","587,471","6,184,582",
,Retail sales and food services excl motor vehicle and parts,"368,649","352,651","403,490","403,550","432,418","410,619","419,527","427,360","393,464","418,339","430,888","483,860","4,944,815",
,Retail sales and food services excl gasoline stations,"420,099","406,760","471,780","462,650","496,816","470,393","482,318","496,002","450,325","477,847","490,706","546,509","5,672,205",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"332,210","317,137","361,425","359,280","385,031","365,743","373,135","381,411","350,713","373,991","389,464","442,898","4,432,438",
,"Retail sales, total","399,461","384,967","447,155","442,921","475,897","448,595","462,097","473,482","429,556","456,436","469,003","521,467","5,411,037",
,"Retail sales, total (excl. motor vehicle and parts dealers)","311,572","295,344","336,800","339,551","364,112","343,945","352,914","358,891","329,944","352,580","367,761","417,856","4,171,270",
,GAFO(1),"91,540","90,967","106,564","102,978","110,415","105,867","107,090","114,131","100,240","106,921","121,457","147,773","1,305,943",
441,Motor vehicle and parts dealers,"87,889","89,623","110,355","103,370","111,785","104,650","109,183","114,591","99,612","103,856","101,242","103,611","1,239,767",
"4411,4412",Automobile and other motor vehicle dealers,"80,625","82,469","101,927","95,090","103,213","96,499","100,703","105,884","91,758","95,219","93,303","96,137","1,142,827",
4411,Automobile dealers,"76,147","77,461","94,814","87,537","94,742","88,523","93,041","98,738","85,985","89,711","88,406","91,579","1,066,684",
44111,New car dealers,"67,012","67,456","82,564","76,907","83,937","78,207","82,550","88,148","76,300","79,728","78,776","82,739","944,324",
44112,Used car dealers,"9,135","10,005","12,250","10,630","10,805","10,316","10,491","10,590","9,685","9,983","9,630","8,840","122,360",
4413,"Automotive parts, acc., and tire stores","7,264","7,154","8,428","8,280","8,572","8,151","8,480","8,707","7,854","8,637","7,939","7,474","96,940",
"442,443","Furniture, home furn, electronics, and appliance stores","15,980","15,191","17,210","16,068","17,408","16,742","17,358","18,135","17,239","17,368","20,279","22,075","211,053",
442,Furniture and home furnishings stores,"8,818","8,629","10,018","9,579","10,296","9,759","10,188","10,616","10,116","10,272","11,037","11,189","120,517",
4421,Furniture stores,"4,628","4,616","5,503","5,065","5,566","5,335","5,496","5,705","5,631","5,432","5,793","5,438","64,208",
4422,Home furnishings stores,"4,190","4,013","4,515","4,514","4,730","4,424","4,692","4,911","4,485","4,840","5,244","5,751","56,309",
442299,All other home furnishings stores,"2,246","2,088","2,353","2,300","2,480","2,200","2,454","2,577","2,305","2,506","3,083","3,746","30,338",
443,Electronics and appliance stores,"7,162","6,562","7,192","6,489","7,112","6,983","7,170","7,519","7,123","7,096","9,242","10,886","90,536",
443141,Household appliance stores,"1,198","1,177","1,334","1,310","1,471","1,398","1,523","1,467","1,357","1,409","1,500","1,423","16,567",
443142,Electronics stores,"5,964","5,385","5,858","5,179","5,641","5,585","5,647","6,052","5,766","5,687","7,742","9,463","73,969",
444,Building mat. and garden equip. and supplies dealers,"26,620","24,039","29,916","34,033","37,235","33,517","33,691","32,375","29,963","32,629","29,793","28,621","372,432",
4441,Building mat. and supplies dealers,"23,425","21,061","25,871","29,233","32,196","29,265","29,938","28,915","26,662","28,697","26,220","24,990","326,473",
44412,Paint and wallpaper stores,912,860,"1,029",982,"1,192","1,174","1,248","1,257","1,149","1,162",940,829,"12,734",
44413,Hardware stores,"2,083","1,910","2,340","2,517","2,821","2,579","2,524","2,525","2,317","2,549","2,335","2,337","28,837",
