NAICS  Code,Kind of Business,Jan. 2014,Feb. 2014,Mar. 2014,Apr. 2014,May 2014,Jun. 2014,Jul. 2014,Aug. 2014,Sep. 2014,Oct. 2014,Nov. 2014,Dec. 2014,TOTAL,
,"Retail and food services sales, total","383,488","380,454","433,052","431,598","459,441","433,458","443,498","451,663","421,628","438,697","439,344","502,208","5,218,529",
,Retail sales and food services excl motor vehicle and parts,"312,728","305,069","342,056","343,146","365,685","346,247","351,692","358,476","337,729","353,803","359,831","415,070","4,191,532",
,Retail sales and food services excl gasoline stations,"340,831","339,775","386,653","384,227","408,771","384,744","393,605","402,212","375,370","392,449","398,365","464,463","4,671,465",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"270,071","264,390","295,657","295,775","315,015","297,533","301,799","309,025","291,471","307,555","318,852","377,325","3,644,468",
,"Retail sales, total","340,558","337,558","383,642","383,895","408,383","385,557","394,790","401,546","374,507","388,493","391,652","451,346","4,641,927",
,"Retail sales, total (excl. motor vehicle and parts dealers)","269,798","262,173","292,646","295,443","314,627","298,346","302,984","308,359","290,608","303,599","312,139","364,208","3,614,930",
,GAFO(1),"86,320","89,550","99,364","97,084","103,916","97,579","99,412","107,717","95,736","101,495","115,706","147,582","1,241,461",
441,Motor vehicle and parts dealers,"70,760","75,385","90,996","88,452","93,756","87,211","91,806","93,187","83,899","84,894","79,513","87,138","1,026,997",
"4411,4412",Automobile and other motor vehicle dealers,"64,116","68,681","83,513","81,018","86,267","79,903","84,244","85,709","76,715","77,256","72,363","80,388","940,173",
4411,Automobile dealers,"60,942","64,696","78,060","74,971","79,518","73,631","78,148","80,504","71,831","72,950","69,098","76,811","881,160",
44111,New car dealers,"54,772","56,533","69,342","67,230","71,679","65,946","70,344","72,415","64,100","64,863","62,143","69,671","789,038",
44112,Used car dealers,"6,170","8,163","8,718","7,741","7,839","7,685","7,804","8,089","7,731","8,087","6,955","7,140","92,122",
4413,"Automotive parts, acc., and tire stores","6,644","6,704","7,483","7,434","7,489","7,308","7,562","7,478","7,184","7,638","7,150","6,750","86,824",
"442,443","Furniture, home furn, electronics, and appliance stores","15,134","15,144","16,338","15,063","16,129","15,546","16,361","16,988","16,625","16,577","19,698","23,804","203,407",
442,Furniture and home furnishings stores,"7,254","7,284","8,171","7,856","8,456","7,951","8,472","8,807","8,442","8,509","9,014","10,294","100,510",
4421,Furniture stores,"3,945","4,113","4,638","4,202","4,656","4,232","4,486","4,755","4,645","4,537","4,797","4,892","53,898",
4422,Home furnishings stores,"3,309","3,171","3,533","3,654","3,800","3,719","3,986","4,052","3,797","3,972","4,217","5,402","46,612",
44221,Floor covering stores,"1,279","1,246","1,410","1,530","1,547","1,589","1,598","1,652","1,574","1,675","1,451","1,450","18,001",
442299,All other home furnishings stores,"1,930","1,824","2,007","1,997","2,135","2,012","2,265","2,276","2,106","2,183","2,656","3,854","27,245",
443,Electronics and appliance stores,"7,880","7,860","8,167","7,207","7,673","7,595","7,889","8,181","8,183","8,068","10,684","13,510","102,897",
443141,Household appliance stores,"1,264","1,278","1,409","1,298","1,449","1,448","1,480","1,467","1,451","1,464","1,609","1,637","17,254",
443142,Electronics stores,"6,616","6,582","6,758","5,909","6,224","6,147","6,409","6,714","6,732","6,604","9,075","11,873","85,643",
444,Building mat. and garden equip. and supplies dealers,"19,680","18,789","24,093","30,122","33,411","30,052","28,620","26,418","26,170","27,299","24,806","24,037","313,497",
4441,Building mat. and supplies dealers,"17,508","16,669","20,528","24,331","27,023","25,330","25,269","23,553","23,415","24,039","21,658","20,757","270,080",
44412,Paint and wallpaper stores,625,619,795,894,961,972,"1,042",980,962,945,723,699,"10,217",
44413,Hardware stores,"1,661","1,569","1,862","1,965","2,182","2,022","1,999","1,937","1,895","2,060","1,913","1,924","22,989",
445,Food and beverage stores,"54,132","49,991","54,396","54,270","57,854","55,339","57,477","57,384","54,386","56,944","57,019","61,344","670,536",
4451,Grocery stores,"49,275","45,225","49,148","48,847","51,911","49,596","51,528","51,466","49,003","51,196","51,168","53,135","601,498",
44511,Supermarkets and other grocery (except convenience) stores,"47,421","43,368","47,067","46,711","49,589","47,306","49,114","49,035","46,779","49,011","49,114","51,160","575,675",
4453,"Beer, wine, and liquor stores","3,333","3,261","3,596","3,643","4,096","3,966","4,166","4,139","3,736","4,003","4,012","5,444","47,395",
446,Health and personal care stores,"23,911","22,543","24,366","24,138","24,865","24,127","24,490","24,528","24,495","25,361","23,961","28,799","295,584",
44611,Pharmacies and drug stores,"20,417","18,932","20,259","20,384","20,817","20,168","20,643","20,357","20,413","21,365","19,909","23,675","247,339",
447,Gasoline stations,"42,657","40,679","46,399","47,371","50,670","48,714","49,893","49,451","46,258","46,248","40,979","37,745","547,064",
448,Clothing and clothing access. stores,"15,220","17,552","20,118","20,370","21,626","19,006","19,885","22,055","18,692","20,267","23,551","32,760","251,102",
4481,Clothing stores,"11,095","12,111","14,871","15,019","15,668","14,066","14,708","15,922","13,911","15,245","17,857","22,772","183,245",
